Fold,train_mse,train_r2,train_mae,test_mse,test_r2,test_mae
1,0.019907491409014016,0.9853222854492049,0.0949282381763513,0.12990249968117631,0.9100768859969081,0.17427688916723877
2,0.024343521885375183,0.9826493795396758,0.10119187461534408,0.29099994317875283,0.8380129097132879,0.20949052984145938
3,0.038661442121317946,0.9748398412918686,0.11371097678986718,0.19916990931093864,0.8942405980805959,0.21521081814662632
4,0.05389435080475086,0.9668695423184991,0.12861438348560153,0.1148371002353042,0.9290833655194484,0.18476709094818836
5,0.05186978734153383,0.9680850765660676,0.12896869634750438,0.3600846631822213,0.7316954641282234,0.24281015414147397
