fold,train_mse,train_r2,train_mape,train_mae,test_mse,test_r2,test_mape,test_mae
1,0.12053546106739559,0.9144693491539895,0.07111034439790517,0.274940008580769,0.19891200940330084,0.8648211369390572,0.08900916788029077,0.29874060279620995
2,0.13450648550350378,0.9066587680299616,0.07602710404851076,0.2801550586343474,0.39728138395389295,0.779032588817947,5.152665811244358,0.3535388539900756
3,0.1976266525025712,0.8736015569067566,1.1129007874608308,0.3058677035891233,0.3454218591499109,0.8152510799465911,4.1800104234302795,0.38314545155720026
4,0.2116981822506092,0.8712022617221635,1.654771677851038,0.31276799329192945,0.23455927423140063,0.8576926348610012,3.2168342153875087,0.34280975371099015
5,0.22135528926369558,0.8654166506071082,1.6362247199857702,0.3237241649308033,0.6055215322432848,0.5766137821027364,1.392408331817234,0.423736381217985
