timestamp,predicted_train,predicted_test,naive_prediction_test
2016-01-01,4.473584,,
2016-01-02,,,
2016-01-03,,,
2016-01-04,4.736166,,
2016-01-05,4.7334332,,
2016-01-06,4.735343,,
2016-01-07,4.731705,,
2016-01-08,4.7341905,,
2016-01-09,,,
2016-01-10,,,
2016-01-11,4.738261,,
2016-01-12,4.731177,,
2016-01-13,4.7353225,,
2016-01-14,4.7408752,,
2016-01-15,4.7429,,
2016-01-16,,,
2016-01-17,,,
2016-01-18,4.633351,,
2016-01-19,4.726808,,
2016-01-20,4.734192,,
2016-01-21,4.7367587,,
2016-01-22,4.7364507,,
2016-01-23,,,
2016-01-24,,,
2016-01-25,4.7390447,,
2016-01-26,4.744025,,
2016-01-27,4.744978,,
2016-01-28,4.742169,,
2016-01-29,4.743783,,
2016-01-30,,,
2016-01-31,,,
2016-02-01,4.78248,,
2016-02-02,4.777823,,
2016-02-03,4.780964,,
2016-02-04,4.7840657,,
2016-02-05,4.774505,,
2016-02-06,,,
2016-02-07,,,
2016-02-08,4.778748,,
2016-02-09,4.7747025,,
2016-02-10,4.7773304,,
2016-02-11,4.7701316,,
2016-02-12,4.77353,,
2016-02-13,,,
2016-02-14,,,
2016-02-15,4.7741475,,
2016-02-16,4.78248,,
2016-02-17,4.777071,,
2016-02-18,4.7716856,,
2016-02-19,4.7728515,,
2016-02-20,,,
2016-02-21,,,
2016-02-22,4.7823663,,
2016-02-23,4.777615,,
2016-02-24,4.782248,,
2016-02-25,4.7823663,,
2016-02-26,4.775337,,
2016-02-27,,,
2016-02-28,,,
2016-02-29,4.78248,,
2016-03-01,4.669503,,
2016-03-02,4.6685653,,
2016-03-03,4.665163,,
2016-03-04,4.6657195,,
2016-03-05,,,
2016-03-06,,,
2016-03-07,4.669503,,
2016-03-08,4.6693926,,
2016-03-09,4.669503,,
2016-03-10,4.6693926,,
2016-03-11,4.669503,,
2016-03-12,,,
2016-03-13,,,
2016-03-14,4.669503,,
2016-03-15,4.669503,,
2016-03-16,4.669503,,
2016-03-17,4.669503,,
2016-03-18,4.669503,,
2016-03-19,,,
2016-03-20,,,
2016-03-21,4.668564,,
2016-03-22,4.6678963,,
2016-03-23,4.669503,,
2016-03-24,4.669503,,
2016-03-25,4.57814,,
2016-03-26,,,
2016-03-27,,,
2016-03-28,4.669503,,
2016-03-29,4.669503,,
2016-03-30,4.669503,,
2016-03-31,4.669503,,
2016-04-01,4.6612406,,
2016-04-02,,,
2016-04-03,,,
2016-04-04,4.6596375,,
2016-04-05,4.6610026,,
2016-04-06,4.6612406,,
2016-04-07,4.6612406,,
2016-04-08,4.6612406,,
2016-04-09,,,
2016-04-10,,,
2016-04-11,4.6612406,,
2016-04-12,4.6612406,,
2016-04-13,4.6612406,,
2016-04-14,4.6612406,,
2016-04-15,4.6612406,,
2016-04-16,,,
2016-04-17,,,
2016-04-18,4.6612406,,
2016-04-19,4.6612406,,
2016-04-20,4.6612406,,
2016-04-21,4.6612406,,
2016-04-22,4.6612406,,
2016-04-23,,,
2016-04-24,,,
2016-04-25,4.6612406,,
2016-04-26,4.6612406,,
2016-04-27,4.6612406,,
2016-04-28,4.6612406,,
2016-04-29,4.6612406,,
2016-04-30,,,
2016-05-01,,,
2016-05-02,4.566232,,
2016-05-03,4.66051,,
2016-05-04,4.66051,,
2016-05-05,4.66051,,
2016-05-06,4.66051,,
2016-05-07,,,
2016-05-08,,,
2016-05-09,4.66051,,
2016-05-10,4.66051,,
2016-05-11,4.66051,,
2016-05-12,4.66051,,
2016-05-13,4.66051,,
2016-05-14,,,
2016-05-15,,,
2016-05-16,4.66051,,
2016-05-17,4.66051,,
2016-05-18,4.66051,,
2016-05-19,4.66051,,
2016-05-20,4.66051,,
2016-05-21,,,
2016-05-22,,,
2016-05-23,4.66051,,
2016-05-24,4.66051,,
2016-05-25,4.660363,,
2016-05-26,4.66051,,
2016-05-27,4.66051,,
2016-05-28,,,
2016-05-29,,,
2016-05-30,4.517256,,
2016-05-31,4.66051,,
2016-06-01,4.541963,,
2016-06-02,4.541963,,
2016-06-03,4.541963,,
2016-06-04,,,
2016-06-05,,,
2016-06-06,4.541963,,
2016-06-07,4.541963,,
2016-06-08,4.541963,,
2016-06-09,4.541963,,
2016-06-10,4.541963,,
2016-06-11,,,
2016-06-12,,,
2016-06-13,4.541963,,
2016-06-14,4.541963,,
2016-06-15,4.541963,,
2016-06-16,4.541963,,
2016-06-17,4.541963,,
2016-06-18,,,
2016-06-19,,,
2016-06-20,4.541963,,
2016-06-21,4.541963,,
2016-06-22,4.541963,,
2016-06-23,4.541963,,
2016-06-24,4.541963,,
2016-06-25,,,
2016-06-26,,,
2016-06-27,4.541963,,
2016-06-28,4.541963,,
2016-06-29,4.541963,,
2016-06-30,4.541963,,
2016-07-01,4.54445,,
2016-07-02,,,
2016-07-03,,,
2016-07-04,4.493079,,
2016-07-05,4.541036,,
2016-07-06,4.541036,,
2016-07-07,4.539278,,
2016-07-08,4.541036,,
2016-07-09,,,
2016-07-10,,,
2016-07-11,4.541036,,
2016-07-12,4.541036,,
2016-07-13,4.541036,,
2016-07-14,4.541036,,
2016-07-15,4.541036,,
2016-07-16,,,
2016-07-17,,,
2016-07-18,4.541036,,
2016-07-19,4.5429277,,
2016-07-20,4.541036,,
2016-07-21,4.541036,,
2016-07-22,4.541036,,
2016-07-23,,,
2016-07-24,,,
2016-07-25,4.541036,,
2016-07-26,4.541036,,
2016-07-27,4.5409665,,
2016-07-28,4.541036,,
2016-07-29,4.5407763,,
2016-07-30,,,
2016-07-31,,,
2016-08-01,4.526049,,
2016-08-02,4.526973,,
2016-08-03,4.530844,,
2016-08-04,4.530844,,
2016-08-05,4.528288,,
2016-08-06,,,
2016-08-07,,,
2016-08-08,4.526049,,
2016-08-09,4.526049,,
2016-08-10,4.526049,,
2016-08-11,4.526049,,
2016-08-12,4.526049,,
2016-08-13,,,
2016-08-14,,,
2016-08-15,4.526049,,
2016-08-16,4.525017,,
2016-08-17,4.526049,,
2016-08-18,4.526049,,
2016-08-19,4.526049,,
2016-08-20,,,
2016-08-21,,,
2016-08-22,4.526049,,
2016-08-23,4.526049,,
2016-08-24,4.526049,,
2016-08-25,4.526049,,
2016-08-26,4.526049,,
2016-08-27,,,
2016-08-28,,,
2016-08-29,4.526049,,
2016-08-30,4.526049,,
2016-08-31,4.5153217,4.8464937,4.5240666278626485
2016-09-01,,4.5426764,4.5240666278626485
2016-09-02,,4.5426764,4.5240666278626485
2016-09-03,,,
2016-09-04,,,
2016-09-05,,4.498589,4.5240666278626485
2016-09-06,,4.5426764,4.5240666278626485
2016-09-07,,4.5426764,4.5240666278626485
2016-09-08,,4.5426764,4.5240666278626485
2016-09-09,,4.542606,4.5240666278626485
2016-09-10,,,
2016-09-11,,,
2016-09-12,,4.5426764,4.5240666278626485
2016-09-13,,4.5426764,4.5240666278626485
2016-09-14,,4.5426764,4.5240666278626485
2016-09-15,,4.5426764,4.5240666278626485
2016-09-16,,4.5426764,4.5240666278626485
2016-09-17,,,
2016-09-18,,,
2016-09-19,,4.5424414,4.5240666278626485
2016-09-20,,4.5426764,4.5240666278626485
2016-09-21,,4.5426764,4.5240666278626485
2016-09-22,,4.5426764,4.5240666278626485
2016-09-23,,4.5426764,4.5240666278626485
2016-09-24,,,
2016-09-25,,,
2016-09-26,,4.5426764,4.5240666278626485
2016-09-27,,4.5426764,4.5240666278626485
2016-09-28,,4.5430303,4.5240666278626485
2016-09-29,,4.5426764,4.5240666278626485
2016-09-30,,4.5426764,4.5240666278626485
2016-10-01,,,
2016-10-02,,,
2016-10-03,,4.6258254,4.5240666278626485
2016-10-04,,4.6258254,4.5240666278626485
2016-10-05,,4.6258254,4.5240666278626485
2016-10-06,,4.6258254,4.5240666278626485
2016-10-07,,4.6258254,4.5240666278626485
2016-10-08,,,
2016-10-09,,,
2016-10-10,,4.5359874,4.5240666278626485
2016-10-11,,4.62547,4.5240666278626485
2016-10-12,,4.6258254,4.5240666278626485
2016-10-13,,4.6258254,4.5240666278626485
2016-10-14,,4.6258254,4.5240666278626485
2016-10-15,,,
2016-10-16,,,
2016-10-17,,4.6258254,4.5240666278626485
2016-10-18,,4.6267505,4.5240666278626485
2016-10-19,,4.6258254,4.5240666278626485
2016-10-20,,4.6258254,4.5240666278626485
2016-10-21,,4.6258254,4.5240666278626485
2016-10-22,,,
2016-10-23,,,
2016-10-24,,4.6258254,4.5240666278626485
2016-10-25,,4.6258254,4.5240666278626485
2016-10-26,,4.6238832,4.5240666278626485
2016-10-27,,4.6236043,4.5240666278626485
2016-10-28,,4.625464,4.5240666278626485
2016-10-29,,,
2016-10-30,,,
2016-10-31,,4.6258254,4.5240666278626485
2016-11-01,,4.5986094,4.5240666278626485
