timestamp,predicted_train,predicted_test
2016-01-01,4.3717303,
2016-01-02,,
2016-01-03,,
2016-01-04,4.7366157,
2016-01-05,4.731025,
2016-01-06,4.731671,
2016-01-07,4.7283163,
2016-01-08,4.7296443,
2016-01-09,,
2016-01-10,,
2016-01-11,4.734062,
2016-01-12,4.7295966,
2016-01-13,4.736545,
2016-01-14,4.746945,
2016-01-15,4.7448573,
2016-01-16,,
2016-01-17,,
2016-01-18,4.740037,
2016-01-19,4.7328343,
2016-01-20,4.7378063,
2016-01-21,4.7376356,
2016-01-22,4.7396827,
2016-01-23,,
2016-01-24,,
2016-01-25,4.758086,
2016-01-26,4.756102,
2016-01-27,4.7594137,
2016-01-28,4.7459874,
2016-01-29,4.7630033,
2016-01-30,,
2016-01-31,,
2016-02-01,4.7753034,
2016-02-02,4.7772746,
2016-02-03,4.7807574,
2016-02-04,4.783074,
2016-02-05,4.770225,
2016-02-06,,
2016-02-07,,
2016-02-08,4.7771254,
2016-02-09,4.7724524,
2016-02-10,4.7753673,
2016-02-11,4.7694607,
2016-02-12,4.771585,
2016-02-13,,
2016-02-14,,
2016-02-15,4.7773314,
2016-02-16,4.780813,
2016-02-17,4.7751513,
2016-02-18,4.7705507,
2016-02-19,4.771594,
2016-02-20,,
2016-02-21,,
2016-02-22,4.7820807,
2016-02-23,4.7772245,
2016-02-24,4.782506,
2016-02-25,4.782005,
2016-02-26,4.773593,
2016-02-27,,
2016-02-28,,
2016-02-29,4.7731333,
2016-03-01,4.66422,
2016-03-02,4.7204137,
2016-03-03,4.699892,
2016-03-04,4.715082,
2016-03-05,,
2016-03-06,,
2016-03-07,4.7090573,
2016-03-08,4.683706,
2016-03-09,4.661974,
2016-03-10,4.6691465,
2016-03-11,4.6704655,
2016-03-12,,
2016-03-13,,
2016-03-14,4.6621704,
2016-03-15,4.6658196,
2016-03-16,4.6623015,
2016-03-17,4.658707,
2016-03-18,4.6913147,
2016-03-19,,
2016-03-20,,
2016-03-21,4.6720457,
2016-03-22,4.6710334,
2016-03-23,4.652965,
2016-03-24,4.654357,
2016-03-25,4.5690255,
2016-03-26,,
2016-03-27,,
2016-03-28,4.656709,
2016-03-29,4.6588016,
2016-03-30,4.662327,
2016-03-31,4.651351,
2016-04-01,4.6527405,
2016-04-02,,
2016-04-03,,
2016-04-04,4.6506677,
2016-04-05,4.6599298,
2016-04-06,4.6631184,
2016-04-07,4.659949,
2016-04-08,4.659364,
2016-04-09,,
2016-04-10,,
2016-04-11,4.651313,
2016-04-12,4.648883,
2016-04-13,4.655475,
2016-04-14,4.655093,
2016-04-15,4.6596246,
2016-04-16,,
2016-04-17,,
2016-04-18,4.6552267,
2016-04-19,4.647695,
2016-04-20,4.6497025,
2016-04-21,4.649398,
2016-04-22,4.6558285,
2016-04-23,,
2016-04-24,,
2016-04-25,4.656792,
2016-04-26,4.6596217,
2016-04-27,4.6573057,
2016-04-28,4.6564317,
2016-04-29,4.6604776,
2016-04-30,,
2016-05-01,,
2016-05-02,4.5643563,
2016-05-03,4.651188,
2016-05-04,4.652234,
2016-05-05,4.6543474,
2016-05-06,4.6567574,
2016-05-07,,
2016-05-08,,
2016-05-09,4.6640096,
2016-05-10,4.651874,
2016-05-11,4.650399,
2016-05-12,4.656885,
2016-05-13,4.6524115,
2016-05-14,,
2016-05-15,,
2016-05-16,4.6530113,
2016-05-17,4.6529546,
2016-05-18,4.654374,
2016-05-19,4.652276,
2016-05-20,4.651245,
2016-05-21,,
2016-05-22,,
2016-05-23,4.651443,
2016-05-24,4.651344,
2016-05-25,4.65267,
2016-05-26,4.651515,
2016-05-27,4.6543546,
2016-05-28,,
2016-05-29,,
2016-05-30,4.5128684,
2016-05-31,4.654142,
2016-06-01,4.5556045,
2016-06-02,4.557646,
2016-06-03,4.5521874,
2016-06-04,,
2016-06-05,,
2016-06-06,4.5456176,
2016-06-07,4.545383,
2016-06-08,4.5430136,
2016-06-09,4.5377216,
2016-06-10,4.539058,
2016-06-11,,
2016-06-12,,
2016-06-13,4.536803,
2016-06-14,4.5359116,
2016-06-15,4.538346,
2016-06-16,4.5412917,
2016-06-17,4.5378428,
2016-06-18,,
2016-06-19,,
2016-06-20,4.537715,
2016-06-21,4.543464,
2016-06-22,4.543612,
2016-06-23,4.5458274,
2016-06-24,4.5395722,
2016-06-25,,
2016-06-26,,
2016-06-27,4.538566,
2016-06-28,4.5450325,
2016-06-29,4.53759,
2016-06-30,4.53768,
2016-07-01,4.534156,
2016-07-02,,
2016-07-03,,
2016-07-04,4.4806952,
2016-07-05,4.540877,
2016-07-06,4.5405693,
2016-07-07,4.5447664,
2016-07-08,4.5429344,
2016-07-09,,
2016-07-10,,
2016-07-11,4.5341873,
2016-07-12,4.5374227,
2016-07-13,4.537183,
2016-07-14,4.5406075,
2016-07-15,4.5401835,
2016-07-16,,
2016-07-17,,
2016-07-18,4.561918,
2016-07-19,4.5718684,
2016-07-20,4.563875,
2016-07-21,4.5467076,
2016-07-22,4.551098,
2016-07-23,,
2016-07-24,,
2016-07-25,4.5527477,
2016-07-26,4.5457215,
2016-07-27,4.5487094,
2016-07-28,4.542418,
2016-07-29,4.5433064,
2016-07-30,,
2016-07-31,,
2016-08-01,4.5272555,
2016-08-02,4.528425,
2016-08-03,4.543188,
2016-08-04,4.534485,
2016-08-05,4.537458,
2016-08-06,,
2016-08-07,,
2016-08-08,4.515231,
2016-08-09,4.5180855,
2016-08-10,4.5259104,
2016-08-11,4.535117,
2016-08-12,4.5457587,
2016-08-13,,
2016-08-14,,
2016-08-15,4.541053,
2016-08-16,4.5373034,
2016-08-17,4.5488324,
2016-08-18,4.5447555,
2016-08-19,4.5244813,
2016-08-20,,
2016-08-21,,
2016-08-22,4.535054,
2016-08-23,4.545533,
2016-08-24,4.548891,
2016-08-25,4.5497365,
2016-08-26,4.5506015,
2016-08-27,,
2016-08-28,,
2016-08-29,4.5294967,
2016-08-30,4.5454345,
2016-08-31,4.5387926,
2016-09-01,4.6043096,
2016-09-02,4.5981746,
2016-09-03,,
2016-09-04,,
2016-09-05,4.520787,
2016-09-06,4.6097946,
2016-09-07,4.6141996,
2016-09-08,4.6082525,
2016-09-09,4.608232,
2016-09-10,,
2016-09-11,,
2016-09-12,4.601088,
2016-09-13,4.6182284,
2016-09-14,4.618028,
2016-09-15,4.6155,
2016-09-16,4.589522,
2016-09-17,,
2016-09-18,,
2016-09-19,4.5960693,
2016-09-20,4.593665,
2016-09-21,4.598798,
2016-09-22,4.5986524,
2016-09-23,4.5956087,
2016-09-24,,
2016-09-25,,
2016-09-26,4.5892196,
2016-09-27,4.597343,
2016-09-28,4.5974145,
2016-09-29,4.595782,
2016-09-30,4.59297,
2016-10-01,,
2016-10-02,,
2016-10-03,4.66561,
2016-10-04,4.664536,
2016-10-05,4.66424,
2016-10-06,4.6683054,
2016-10-07,4.6665754,
2016-10-08,,
2016-10-09,,
2016-10-10,4.655306,
2016-10-11,4.668554,
2016-10-12,4.6677566,
2016-10-13,4.672463,
2016-10-14,4.671424,
2016-10-15,,
2016-10-16,,
2016-10-17,4.66656,
2016-10-18,4.673194,
2016-10-19,4.673293,
2016-10-20,4.6739807,
2016-10-21,4.6725287,
2016-10-22,,
2016-10-23,,
2016-10-24,4.6735353,
2016-10-25,4.673705,
2016-10-26,4.668099,
2016-10-27,4.668311,
2016-10-28,4.66433,
2016-10-29,,
2016-10-30,,
2016-10-31,4.6685667,
2016-11-01,4.6517205,4.73911
2016-11-02,,4.7001743
2016-11-03,,4.705077
2016-11-04,,4.6987085
2016-11-05,,
2016-11-06,,
2016-11-07,,4.684719
2016-11-08,,4.691655
2016-11-09,,4.693355
2016-11-10,,4.693339
2016-11-11,,4.616945
2016-11-12,,
2016-11-13,,
2016-11-14,,4.7020364
2016-11-15,,4.695403
2016-11-16,,4.704743
2016-11-17,,4.695927
2016-11-18,,4.691456
2016-11-19,,
2016-11-20,,
2016-11-21,,4.697377
2016-11-22,,4.700778
2016-11-23,,4.689715
2016-11-24,,4.571753
2016-11-25,,4.693648
2016-11-26,,
2016-11-27,,
2016-11-28,,4.6843095
2016-11-29,,4.6886086
2016-11-30,,4.696536
2016-12-01,,4.696755
2016-12-02,,4.687444
2016-12-03,,
2016-12-04,,
2016-12-05,,4.6906133
2016-12-06,,4.688465
2016-12-07,,4.7053
2016-12-08,,4.7025447
2016-12-09,,4.7020617
2016-12-10,,
2016-12-11,,
2016-12-12,,4.677736
2016-12-13,,4.699471
2016-12-14,,4.6957088
2016-12-15,,4.6936293
2016-12-16,,4.696302
2016-12-17,,
2016-12-18,,
2016-12-19,,4.687258
2016-12-20,,4.6876006
2016-12-21,,4.7024374
2016-12-22,,4.6924305
2016-12-23,,4.700674
2016-12-24,,
2016-12-25,,
2016-12-26,,4.325857
2016-12-27,,4.469604
2016-12-28,,4.6882935
2016-12-29,,4.6903124
2016-12-30,,4.690289
