timestamp,predicted_train,predicted_test
2016-01-01,4.34453,
2016-01-02,,
2016-01-03,,
2016-01-04,4.717219,
2016-01-05,4.716412,
2016-01-06,4.71256,
2016-01-07,4.7048855,
2016-01-08,4.6998296,
2016-01-09,,
2016-01-10,,
2016-01-11,4.7154946,
2016-01-12,4.713989,
2016-01-13,4.727688,
2016-01-14,4.747195,
2016-01-15,4.7384214,
2016-01-16,,
2016-01-17,,
2016-01-18,4.75747,
2016-01-19,4.7543297,
2016-01-20,4.749369,
2016-01-21,4.7311997,
2016-01-22,4.7393246,
2016-01-23,,
2016-01-24,,
2016-01-25,4.781187,
2016-01-26,4.76261,
2016-01-27,4.7614765,
2016-01-28,4.7434516,
2016-01-29,4.7759438,
2016-01-30,,
2016-01-31,,
2016-02-01,4.787256,
2016-02-02,4.7863097,
2016-02-03,4.7884107,
2016-02-04,4.7951093,
2016-02-05,4.781484,
2016-02-06,,
2016-02-07,,
2016-02-08,4.7912245,
2016-02-09,4.7800746,
2016-02-10,4.7896605,
2016-02-11,4.785241,
2016-02-12,4.786379,
2016-02-13,,
2016-02-14,,
2016-02-15,4.7941384,
2016-02-16,4.793243,
2016-02-17,4.7832265,
2016-02-18,4.7783375,
2016-02-19,4.7856975,
2016-02-20,,
2016-02-21,,
2016-02-22,4.791186,
2016-02-23,4.784116,
2016-02-24,4.78983,
2016-02-25,4.788404,
2016-02-26,4.7804885,
2016-02-27,,
2016-02-28,,
2016-02-29,4.7649846,
2016-03-01,4.7853875,
2016-03-02,4.7886133,4.781131
2016-03-03,,4.790523
2016-03-04,,4.7866006
2016-03-05,,
2016-03-06,,
2016-03-07,,4.7853103
2016-03-08,,4.7603803
2016-03-09,,4.7527885
2016-03-10,,4.727885
2016-03-11,,4.728656
2016-03-12,,
2016-03-13,,
2016-03-14,,4.792424
2016-03-15,,4.7883587
2016-03-16,,4.7701364
2016-03-17,,4.7527785
2016-03-18,,4.765449
2016-03-19,,
2016-03-20,,
2016-03-21,,4.7903085
2016-03-22,,4.7896714
2016-03-23,,4.762894
2016-03-24,,4.7562037
2016-03-25,,4.6659555
2016-03-26,,
2016-03-27,,
2016-03-28,,4.763404
2016-03-29,,4.7838607
2016-03-30,,4.787544
2016-03-31,,4.744
2016-04-01,,4.7262793
2016-04-02,,
2016-04-03,,
2016-04-04,,4.75901
2016-04-05,,4.7884216
2016-04-06,,4.795571
2016-04-07,,4.782044
2016-04-08,,4.7930326
2016-04-09,,
2016-04-10,,
2016-04-11,,4.7696834
2016-04-12,,4.7043276
2016-04-13,,4.7686276
2016-04-14,,4.7604012
2016-04-15,,4.7750773
2016-04-16,,
2016-04-17,,
2016-04-18,,4.7549562
2016-04-19,,4.7281847
2016-04-20,,4.743813
2016-04-21,,4.735145
2016-04-22,,4.7244816
2016-04-23,,
2016-04-24,,
2016-04-25,,4.7539835
2016-04-26,,4.7253904
2016-04-27,,4.7244906
2016-04-28,,4.757078
2016-04-29,,4.790731
2016-04-30,,
2016-05-01,,
2016-05-02,,4.5011673
2016-05-03,,4.547573
