fold,train_mse,train_r2,train_mae,test_mse,test_r2,test_mae
2,0.015064732577552429,0.9888928323506769,0.08871469367897487,0.18432763575881864,0.872401877985859,0.19275912137665982
3,0.020865660486994585,0.9851281931403145,0.09700649544103802,0.2924116533173498,0.8372270716984017,0.21241828947592498
4,0.03562229821207445,0.9768176605065133,0.11479431914721812,0.23173816805157557,0.8769468232434097,0.21574218066384282
5,0.050533109888079936,0.9689357969126129,0.12327849237179908,0.12247921383781799,0.924364045927628,0.19357272428479275
6,0.04781284811550424,0.9705812677288019,0.12567317494278765,0.40784964831024517,0.6961050503282016,0.25139007349462006
